population	idplant	date	length	crop	fruit_rem	visits	obs_time_h	x.diam	x.nseeds	x.pulp.sugar	x.peel.sugar
semiurban	RA4	21-dic-20	3	7	4	1	0.5	24.44	32.7	19.75	1.74
semiurban	RA5	21-dic-20	2	57	49	3	0.5	24.38	38.0	11.00	3.76
semiurban	RA6	21-dic-20	2.5	40	36	0	0.5	39.99	228.0	16.50	3.31
semiurban	RA7	22-dic-20	2.5	96	8	0	0.5	40.74	270.3	21.60	4.58
semiurban	RA8	22-dic-20	3	8	2	0	0.5	33.69	191.0	16.00	6.32
semiurban	RA9	22-dic-20	2.2	14	7	0	0.5	32.39	220.0	14.85	3.24
semiurban	RA10	22-dic-20	2	75	54	0	0.5	41.51	246.2	18.44	3.18
semiurban	RA11	22-dic-20	4.5	38	0	0	0.5	32.30	134.6	16.58	6.09
semiurban	RA12	22-dic-20	2	13	3	6	0.5	34.74	208.8	11.75	5.14
semiurban	RA13	22-dic-20	1	2	0	0	0.5	23.23	135.0	18.42	5.17
semiurban	RA14	23-dic-20	3.5	44	41	0	0.5	29.55	114.2	12.00	3.11
semiurban	RA15	23-dic-20	2	60	38	0	0.5	28.03	133.3	22.38	5.19
semiurban	RA16	23-dic-20	4	90	40	0	0.5	37.57	177.0	18.75	5.78
semiurban	RA17	23-dic-20	1.5	7	1	0	0.5	37.98	119.6	20.15	3.30
semiurban	RA18	23-dic-20	1.1	19	2	0	0.5	35.78	116.6	18.94	3.15
semiurban	RA19	23-dic-20	0.8	4	0	0	0.5	39.44	200.6	17.56	3.69
semiurban	RA20	24-dic-20	1.5	30	1	0	0.5	34.18	134.5	23.25	5.68
semiurban	RA21	24-dic-20	1	10	0	0	0.5	31.74	142.0	NA	4.03
semiurban	RA22	24-dic-20	2.5	70	40	2	0.5	40.90	218.4	21.40	3.67
semiurban	RA23	24-dic-20	5	10	0	1	0.5	35.77	144.0	19.40	6.72
semiurban	RA24	24-dic-20	2.5	45	11	0	0.5	38.34	176.8	21.13	2.66
semiurban	RA25	26-dic-20	2.5	47	46	0	0.5	33.05	36.0	18.00	4.97
semiurban	RA26	26-dic-20	1.5	12	10	0	0.5	38.20	215.0	10.31	1.67
semiurban	RA27	26-dic-20	2	18	16	0	0.5	34.71	130.4	12.50	2.12
semiurban	RA28	26-dic-20	1.6	51	22	0	0.5	32.87	127.8	12.35	3.20
semiurban	RA29	26-dic-20	2	68	68	1	0.5	33.86	149.3	12.13	1.84
semiurban	RA30	26-dic-20	1.7	46	7	1	0.5	22.92	18.2	NA	3.91
semiurban	RA31	26-dic-20	3	30	22	0	0.5	43.46	203.0	10.00	NA
semiurban	RA32	26-dic-20	1	15	7	0	0.5	25.61	179.0	11.50	NA
semiurban	RA33	27-dic-20	3	61	51	1	0.5	36.90	136.3	12.75	3.48
semiurban	RA34	27-dic-20	1.8	68	68	3	0.5	41.25	187.0	12.75	2.36
semiurban	RA35	27-dic-20	2	17	12	0	0.5	31.44	128.3	13.75	4.54
semiurban	RA36	27-dic-20	2.2	7	5	0	0.5	39.43	142.0	17.25	1.97
semiurban	RA37	27-dic-20	1	7	6	0	0.5	32.64	214.5	7.38	2.95
semiurban	RA38	27-dic-20	4	41	30	0	0.5	30.16	66.6	17.54	2.93
semiurban	RA39	27-dic-20	11	50	10	4	0.5	34.12	192.8	18.42	3.79
semiurban	RA40	27-dic-20	2.3	62	12	0	0.5	42.85	300.0	17.60	4.72
semiurban	RA41	28-dic-20	3.5	113	111	0	0.5	42.75	107.8	20.44	3.07
semiurban	RA42	28-dic-20	2.2	77	57	3	0.5	36.00	208.8	15.00	4.04
semiurban	RA43	28-dic-20	2.4	56	4	0	0.5	47.21	240.0	20.60	3.78
semiurban	RA44	28-dic-20	1.3	14	13	0	0.5	36.30	154.0	11.25	2.40
semiurban	RA45	28-dic-20	3	51	42	0	0.5	35.95	174.0	17.75	5.09
semiurban	RA46	28-dic-20	3.2	50	45	0	0.5	29.50	120.8	22.17	3.23
semiurban	RA47	29-dic-20	4.2	201	3	0	0.5	33.82	133.6	20.55	5.83
semiurban	RA48	29-dic-20	0.6	4	1	0	0.5	39.78	185.0	20.50	3.01
semiurban	RA49	29-dic-20	4	118	40	2	0.5	44.91	202.4	18.19	4.17
semiurban	RA50	29-dic-20	2.5	96	8	0	0.5	41.32	217.0	20.25	4.00
